date,sku,category,shelf_life_days,units_sold,temp_c,bank_holiday,school_holiday,weekend,dow,promo
2024-01-01,Burger Buns,Bakery,3,145,4.0,1,1,0,0,0
2024-01-02,Burger Buns,Bakery,3,126,1.0,0,1,0,1,1
2024-01-03,Burger Buns,Bakery,3,121,4.9,0,0,0,2,0
2024-01-04,Burger Buns,Bakery,3,104,5.3,0,0,0,3,0
2024-01-05,Burger Buns,Bakery,3,215,-1.1,0,0,1,4,1
2024-01-06,Burger Buns,Bakery,3,178,0.3,0,0,1,5,0
2024-01-07,Burger Buns,Bakery,3,237,3.4,0,0,1,6,1
2024-01-08,Burger Buns,Bakery,3,88,2.4,0,0,0,0,0
2024-01-09,Burger Buns,Bakery,3,85,3.1,0,0,0,1,0
2024-01-10,Burger Buns,Bakery,3,111,1.2,0,0,0,2,0
2024-01-11,Burger Buns,Bakery,3,125,5.0,0,0,0,3,0
2024-01-12,Burger Buns,Bakery,3,155,4.8,0,0,1,4,0
2024-01-13,Burger Buns,Bakery,3,161,3.2,0,0,1,5,0
2024-01-14,Burger Buns,Bakery,3,253,5.5,0,0,1,6,1
2024-01-15,Burger Buns,Bakery,3,106,4.0,0,0,0,0,0
2024-01-16,Burger Buns,Bakery,3,94,1.1,0,0,0,1,0
2024-01-17,Burger Buns,Bakery,3,98,3.8,0,0,0,2,0
2024-01-18,Burger Buns,Bakery,3,103,0.9,0,0,0,3,0
2024-01-19,Burger Buns,Bakery,3,175,4.9,0,0,1,4,0
2024-01-20,Burger Buns,Bakery,3,147,2.9,0,0,1,5,0
2024-01-21,Burger Buns,Bakery,3,184,2.6,0,0,1,6,0
2024-01-22,Burger Buns,Bakery,3,110,1.5,0,0,0,0,0
2024-01-23,Burger Buns,Bakery,3,112,5.7,0,0,0,1,0
2024-01-24,Burger Buns,Bakery,3,107,2.7,0,0,0,2,0
2024-01-25,Burger Buns,Bakery,3,111,2.1,0,0,0,3,0
2024-01-26,Burger Buns,Bakery,3,163,2.3,0,0,1,4,0
2024-01-27,Burger Buns,Bakery,3,168,4.3,0,0,1,5,0
2024-01-28,Burger Buns,Bakery,3,159,3.9,0,0,1,6,0
2024-01-29,Burger Buns,Bakery,3,96,4.0,0,0,0,0,0
2024-01-30,Burger Buns,Bakery,3,94,4.1,0,0,0,1,0
2024-01-31,Burger Buns,Bakery,3,137,7.9,0,0,0,2,0
2024-02-01,Burger Buns,Bakery,3,118,2.3,0,0,0,3,0
2024-02-02,Burger Buns,Bakery,3,260,2.1,0,0,1,4,1
2024-02-03,Burger Buns,Bakery,3,252,1.5,0,0,1,5,1
2024-02-04,Burger Buns,Bakery,3,156,4.7,0,0,1,6,0
2024-02-05,Burger Buns,Bakery,3,141,5.8,0,0,0,0,1
2024-02-06,Burger Buns,Bakery,3,101,3.1,0,0,0,1,0
2024-02-07,Burger Buns,Bakery,3,116,1.6,0,0,0,2,0
2024-02-08,Burger Buns,Bakery,3,99,1.7,0,0,0,3,0
2024-02-09,Burger Buns,Bakery,3,194,5.0,0,0,1,4,0
2024-02-10,Burger Buns,Bakery,3,202,5.2,0,0,1,5,0
2024-02-11,Burger Buns,Bakery,3,178,4.8,0,0,1,6,0
2024-02-12,Burger Buns,Bakery,3,108,2.2,0,1,0,0,0
2024-02-13,Burger Buns,Bakery,3,101,4.3,0,1,0,1,0
2024-02-14,Burger Buns,Bakery,3,111,4.1,0,1,0,2,0
2024-02-15,Burger Buns,Bakery,3,108,4.3,0,1,0,3,0
2024-02-16,Burger Buns,Bakery,3,216,5.8,0,1,1,4,0
2024-02-17,Burger Buns,Bakery,3,199,4.5,0,1,1,5,0
2024-02-18,Burger Buns,Bakery,3,172,5.6,0,1,1,6,0
2024-02-19,Burger Buns,Bakery,3,157,4.3,0,0,0,0,1
2024-02-20,Burger Buns,Bakery,3,166,4.8,0,0,0,1,1
2024-02-21,Burger Buns,Bakery,3,127,5.7,0,0,0,2,0
2024-02-22,Burger Buns,Bakery,3,109,1.1,0,0,0,3,0
2024-02-23,Burger Buns,Bakery,3,224,3.7,0,0,1,4,0
2024-02-24,Burger Buns,Bakery,3,183,3.5,0,0,1,5,0
2024-02-25,Burger Buns,Bakery,3,176,3.2,0,0,1,6,0
2024-02-26,Burger Buns,Bakery,3,118,4.1,0,0,0,0,0
2024-02-27,Burger Buns,Bakery,3,123,8.0,0,0,0,1,0
