date_bst,session,tool,purpose,query_or_url
2026-09-11 14:28,a670ab93,WebSearch,UK sector statistics: WRAP,WRAP UK hospitality and food service sector food waste tonnes cost per year
2026-09-11 14:28,a670ab93,WebFetch,UK sector statistics: WRAP,https://www.wrap.ngo/taking-action/food-drink/sectors/hospitality-food-service
2026-09-11 14:28,a670ab93,WebFetch,UK sector statistics: WRAP,https://www.wrap.ngo/content/overview-waste-hospitality-and-food-service-sector
2026-09-11 14:28,a670ab93,WebFetch,UK sector statistics: WRAP,https://bfff.co.uk/wp-content/uploads/2014/01/WRAP-Waste-in-the-UK-Hospitality-and-Food-Service-Sector-2012-Report.pdf
2026-09-11 14:28,a670ab93,WebSearch,UK sector statistics: WRAP,WRAP 2020 update hospitality food service food waste 1.1 million tonnes UK Food Surplus and Waste Key Facts
2026-09-11 14:29,a670ab93,WebFetch,UK sector statistics: WRAP,https://www.publicsectorcatering.co.uk/sites/default/files/attachment/news/Food-Waste-and-Food-Surplus-Key-Facts-July-2025.pdf
2026-09-11 14:29,a670ab93,WebFetch,UK sector statistics: WRAP,https://www.wrap.ngo/sites/default/files/2020-10/WRAP-Overview%20of%20Waste%20in%20the%20UK%20Hospitality%20and%20Food%20Service%20Sector%20FINAL.pdf
2026-09-11 14:30,a670ab93,WebFetch,UK sector statistics: WRAP,https://www.wrap.ngo/media-centre/press-releases/wrap-urges-hospitality-and-food-service-ceos-and-leaders-take-stand
2026-09-11 14:30,a670ab93,WebSearch,Exploratory: over-ordering and restaurant food waste,over-ordering over-purchasing cause of food waste restaurants hospitality research proportion attributable procurement forecasting
2026-09-11 14:30,a670ab93,WebSearch,UK sector statistics: WRAP,WRAP hospitality food waste breakdown spoilage preparation plate waste percentage recent data stock control over-ordering guidance
2026-09-11 14:30,a670ab93,WebSearch,UK sector statistics: WRAP,"""Guardians of Grub"" OR WRAP hospitality food waste ""spoilage"" percentage share kitchen waste breakdown 2023 2024"
2026-09-11 14:40,a670ab93,WebSearch,Verifying citations carried over from the AE1 bibliography,"Babai Dallery Boubaker Kalai 2019 ""A new method to forecast intermittent demand"" International Journal of Production Economics volume 209 pages"
2026-09-11 14:40,a670ab93,WebSearch,Verifying citations carried over from the AE1 bibliography,"Badorf Hoberg ""impact of daily weather on retail sales"" Journal of Retailing and Consumer Services volume 52 101921"
2026-09-11 14:41,a670ab93,WebSearch,Verifying citations carried over from the AE1 bibliography,"Schmidt Kabir Hoque 2022 ""Machine Learning Based Restaurant Sales Forecasting"" Machine Learning and Knowledge Extraction volume 4 pages 105"
2026-09-11 14:41,a670ab93,WebSearch,Verifying citations carried over from the AE1 bibliography,"Makridakis Spiliotis Assimakopoulos ""M5 accuracy competition: results, findings and conclusions"" International Journal of Forecasting 38 2022 doi"
2026-09-11 14:51,a670ab93,WebSearch,Retrieving named sources for open literature-review markers,"Syntetos Boylan 2005 ""The accuracy of intermittent demand estimates"" International Journal of Forecasting volume pages bias correction"
