sku,sMAPE,MASE,WAPE,bias,interval_coverage
Milk,15.64,0.84,14.94,0.07,0.98
Coffee Beans,16.16,0.8,15.38,-1.68,0.97
Cheese Slices,17.41,0.94,16.47,-3.07,0.98
Onions,18.28,0.92,17.23,-1.74,0.99
Chicken Breast,18.31,1.04,17.15,-4.1,0.97
Fries (Potatoes),18.78,1.15,17.37,-7.07,0.97
Eggs,19.92,0.96,18.9,-1.22,0.95
Burger Buns,20.29,1.25,19.26,-5.18,0.98
Lettuce,21.72,0.99,20.9,-0.79,0.98
Tomatoes,21.87,1.05,20.47,-1.56,0.97
Cooking Oil,21.97,0.89,20.27,-1.14,0.99
Bacon,22.77,0.91,20.37,-2.97,0.96
Mushrooms,26.73,0.9,23.59,-1.26,0.98
Butter,27.9,0.92,24.49,-0.36,0.94
Soft Drinks,28.42,0.88,26.49,-1.56,0.98
Salmon Fillet,54.29,1.17,48.37,-0.52,0.95
Gluten-free Buns,94.8,0.71,78.93,-0.17,1.0
Vegan Cheese,97.36,0.77,88.88,-0.15,0.99
Seasonal Berries,111.15,0.75,113.34,0.06,1.0
Truffle Oil,118.97,0.84,110.98,-0.11,1.0
