strategy,setting_name,setting_value,stockout_days,stockout_units,unit_service_level,day_service_level,waste_units,waste_share_of_supply,waste_cost,holding_cost,ordering_cost,stockout_cost,total_cost,average_inventory_units,average_inventory_value,orders_placed,total_demand,total_received
Manual par-level baseline,buffer_pct,0.0,637.0,13890.429,94.795,82.69,1637.786,0.644,2543.025,130.474,987.5,25856.599,29517.597,69.549,51.764,1520.0,266878.0,254160.0
Manual par-level baseline,buffer_pct,0.05,477.0,8658.429,96.756,87.038,2498.786,0.96,3241.645,149.818,987.5,18122.979,22501.942,80.236,59.439,1523.0,266878.0,260346.0
Manual par-level baseline,buffer_pct,0.1,330.0,5598.429,97.902,91.033,3373.786,1.277,3912.075,172.315,987.5,13129.939,18201.828,92.676,68.364,1529.0,266878.0,264284.0
Manual par-level baseline,buffer_pct,0.15,239.0,3780.429,98.583,93.505,4638.786,1.735,4896.435,196.799,987.5,9819.579,15900.313,106.771,78.078,1533.0,266878.0,267364.0
Manual par-level baseline,buffer_pct,0.2,202.0,2959.429,98.891,94.511,6573.786,2.433,6903.065,221.282,987.5,8273.859,16385.706,120.924,87.791,1530.0,266878.0,270246.0
Manual par-level baseline,buffer_pct,0.3,148.0,2089.429,99.217,95.978,11867.786,4.291,12203.885,269.859,987.5,5947.899,19409.143,149.584,107.064,1532.0,266878.0,276594.0
Manual par-level baseline,buffer_pct,0.5,107.0,1853.429,99.306,97.092,25725.786,8.824,25743.985,364.142,987.5,4503.919,31599.546,204.922,144.469,1537.0,266878.0,291528.0
AI forecast + inventory policy,service_level,0.5,787.0,13394.429,94.981,78.614,1519.786,0.6,2377.995,105.117,987.5,25358.379,28828.991,53.229,41.704,1515.0,266878.0,253290.0
AI forecast + inventory policy,service_level,0.6,657.0,10906.429,95.913,82.147,1628.786,0.636,2492.065,112.339,987.5,20668.139,24260.042,56.083,44.569,1512.0,266878.0,255910.0
AI forecast + inventory policy,service_level,0.7,571.0,9185.429,96.558,84.484,1829.786,0.709,2708.565,121.459,987.5,17220.879,21038.403,59.863,48.188,1496.0,266878.0,257904.0
AI forecast + inventory policy,service_level,0.8,473.0,7196.429,97.303,87.147,1919.786,0.738,2897.045,132.231,987.5,13723.959,17740.735,63.984,52.461,1507.0,266878.0,260012.0
AI forecast + inventory policy,service_level,0.9,353.0,5549.429,97.921,90.408,2082.786,0.795,3287.175,149.097,987.5,11190.059,15613.83,70.613,59.153,1511.0,266878.0,262000.0
AI forecast + inventory policy,service_level,0.95,292.0,4721.429,98.231,92.065,2264.786,0.861,3738.865,164.418,987.5,10328.659,15219.441,76.952,65.231,1511.0,266878.0,263144.0
AI forecast + inventory policy,service_level,0.99,235.0,4107.429,98.461,93.614,2633.786,0.996,4534.815,192.776,987.5,10286.599,16001.689,88.325,76.482,1509.0,266878.0,264340.0
