sku,unit_service_level_baseline,waste_units_baseline,total_cost_baseline,unit_service_level_ai,waste_units_ai,total_cost_ai
Salmon Fillet,96.15,1158.71,5761.88,88.79,880.71,8529.41
Truffle Oil,80.96,0.0,2658.54,96.71,0.0,511.6
Seasonal Berries,73.15,432.57,1637.29,61.12,418.57,2041.11
Chicken Breast,99.52,559.0,1505.04,99.37,42.0,650.87
Burger Buns,98.81,3255.5,927.94,97.48,278.5,379.67
Gluten-free Buns,80.98,508.0,768.98,67.42,478.0,1041.56
Lettuce,99.44,562.0,538.15,99.45,105.0,236.43
Coffee Beans,99.1,0.0,401.09,99.01,0.0,430.67
Bacon,98.77,0.0,394.71,99.39,0.0,227.93
Butter,98.72,0.0,253.36,99.47,0.0,137.97
Cooking Oil,99.04,0.0,249.97,98.72,0.0,312.43
Mushrooms,98.53,80.0,245.72,99.36,39.0,141.73
Vegan Cheese,89.1,0.0,227.05,98.0,0.0,78.12
Soft Drinks,99.56,0.0,168.46,99.01,0.0,288.44
Milk,99.72,0.0,136.62,99.57,0.0,169.58
Fries (Potatoes),99.65,0.0,131.86,99.16,0.0,223.06
Tomatoes,99.74,18.0,110.26,99.29,0.0,169.16
Cheese Slices,99.44,0.0,104.71,98.9,0.0,149.84
Onions,99.52,0.0,86.38,98.21,0.0,170.52
Eggs,99.47,0.0,77.7,98.88,0.0,103.92
