sku,stockout_days,stockout_units,unit_service_level,day_service_level,waste_units,waste_share_of_supply,waste_cost,holding_cost,ordering_cost,stockout_cost,total_cost,average_inventory_units,average_inventory_value,orders_placed,total_demand,total_received
Salmon Fillet,36.0,874.0,88.7948717948718,80.43478260869566,880.7142857142858,11.308606647589698,2862.3214285714284,21.754363992172213,51.7311124011008,5593.6,8529.406904964702,53.942546583850934,172.61614906832298,79.0,7800.0,7788.0
Seasonal Berries,55.0,498.0,61.124121779859486,70.1086956521739,418.57142857142856,35.05623354869586,606.9285714285714,1.8958904109589043,37.884416924664606,1394.3999999999999,2041.1088787641947,10.745341614906833,15.043478260869565,59.0,1281.0,1194.0
Gluten-free Buns,58.0,648.9285714285714,67.42326448651748,68.4782608695652,478.0,26.034858387799563,286.8,0.9681775929549903,39.967750257997935,713.8214285714286,1041.5573564223814,13.96777950310559,7.682278726708075,62.0,1992.0,1836.0
Chicken Breast,8.0,137.35714285714283,99.37459753741682,95.65217391304348,42.0,0.19301470588235295,77.7,26.948571428571427,51.7311124011008,494.4857142857142,650.8653981153864,118.79503105590062,213.83105590062112,79.0,21963.0,21760.0
Truffle Oil,7.0,26.5,96.712158808933,96.19565217391303,0.0,0.0,0.0,19.77123287671233,41.32438940488477,450.5,511.59562228159706,18.456521739130434,156.8804347826087,64.0,806.0,794.0
Coffee Beans,7.0,86.64285714285714,99.0127295220732,96.19565217391303,0.0,0.0,0.0,15.040479452054795,51.7311124011008,363.9,430.6715918531556,56.829968944099384,119.3429347826087,79.0,8776.0,8676.0
Burger Buns,22.0,725.0,97.48386201152218,88.04347826086956,278.5,0.9834039548022598,64.055,2.8796301369863015,51.7311124011008,261.0,379.6657425380871,126.94021739130434,22.84923913043478,79.0,28814.0,28320.0
Cooking Oil,5.0,78.57142857142857,98.71720116618076,97.28260869565217,0.0,0.0,0.0,9.266692759295498,51.7311124011008,251.42857142857144,312.42637658896774,45.95574534161491,73.52919254658386,79.0,6125.0,6036.0
Soft Drinks,7.0,285.35714285714283,99.01400386006999,96.19565217391303,0.0,0.0,0.0,8.42774951076321,51.7311124011008,228.2857142857143,288.44457619757833,167.180900621118,66.87236024844721,79.0,28941.0,28320.0
Lettuce,5.0,91.0,99.44549387605875,97.28260869565217,105.0,0.6429096252755326,68.25,7.247671232876712,51.7311124011008,109.19999999999999,236.4287836339775,95.84782608695652,57.508695652173905,79.0,16411.0,16332.0
Bacon,2.0,74.57142857142858,99.38700017614939,98.91304347826086,0.0,0.0,0.0,12.834481409001956,51.03666795665635,164.0571428571429,227.92829222280122,92.58074534161491,101.83881987577641,78.0,12165.0,12110.0
Fries (Potatoes),12.0,275.7857142857143,99.16013730156314,93.47826086956522,0.0,0.0,0.0,5.859334637964775,51.7311124011008,165.47142857142856,223.06187561049413,154.9751552795031,46.49254658385093,79.0,32837.0,32400.0
Onions,14.0,233.07142857142858,98.21332749274491,92.3913043478261,0.0,0.0,0.0,2.256824853228963,51.7311124011008,116.53571428571429,170.52365154004406,71.62965838509317,17.90741459627329,79.0,13045.0,12740.0
Milk,4.0,72.35714285714286,99.56555302997812,97.82608695652173,0.0,0.0,0.0,9.309393346379647,51.7311124011008,108.53571428571429,169.57622003319474,98.49068322981365,73.86801242236025,79.0,16655.0,16500.0
Tomatoes,7.0,124.14285714285714,99.28751803751805,96.19565217391303,0.0,0.0,0.0,5.6964187866927585,51.7311124011008,111.72857142857143,169.156102616365,100.44409937888199,45.19984472049689,79.0,17424.0,17184.0
Cheese Slices,11.0,216.64285714285714,98.8972112133222,94.02173913043478,0.0,0.0,0.0,2.7862720156555776,51.7311124011008,95.32285714285715,149.84024155961353,100.49301242236025,22.108462732919257,79.0,19645.0,19350.0
Mushrooms,6.0,56.35714285714286,99.35658017060003,96.73913043478261,39.0,0.44776119402985076,23.400000000000002,4.609182974559687,51.7311124011008,61.992857142857154,141.73315251851764,66.49611801242236,36.5728649068323,79.0,8759.0,8710.0
Butter,2.0,41.92857142857143,99.47438170454342,98.91304347826086,0.0,0.0,0.0,7.237010763209393,51.07321766425869,79.66428571428571,137.9745141417538,60.44642857142857,57.42410714285715,78.0,7977.0,7920.0
Eggs,10.0,157.92857142857142,98.88373924633466,94.56521739130434,0.0,0.0,0.0,1.6468101761252445,51.7311124011008,50.537142857142854,103.9150654343689,81.66925465838509,13.067080745341617,79.0,14148.0,13920.0
Vegan Cheese,4.0,26.285714285714285,97.9995651228528,97.82608695652173,0.0,0.0,0.0,1.9657729941291586,41.97798417612659,34.17142857142857,78.11518574168431,23.996894409937887,15.59798136645963,65.0,1314.0,1308.0
