sku,stockout_days,stockout_units,unit_service_level,day_service_level,waste_units,waste_share_of_supply,waste_cost,holding_cost,ordering_cost,stockout_cost,total_cost,average_inventory_units,average_inventory_value,orders_placed,total_demand,total_received
Salmon Fillet,17.0,300.0,96.15384615384616,90.76086956521739,1158.7142857142858,13.392444356383331,3765.8214285714284,24.967514677103722,51.09176126590988,1920.0,5761.880704514441,61.90993788819876,198.11180124223606,79.0,7800.0,8652.0
Truffle Oil,30.0,153.5,80.95533498759305,83.69565217391303,0.0,0.0,0.0,9.623630136986302,39.41520467836257,2609.5,2658.5388348153488,8.983695652173912,76.36141304347827,62.0,806.0,656.0
Seasonal Berries,44.0,344.0,73.14597970335676,76.08695652173914,432.57142857142856,31.76001678204321,627.2285714285714,2.032054794520548,44.833161334709324,963.1999999999999,1637.2937875578011,11.517080745341614,16.123913043478257,70.0,1281.0,1362.0
Chicken Breast,3.0,104.35714285714283,99.52485023513572,98.36956521739131,559.0,2.4921979491752118,1034.15,44.11514677103718,51.09176126590988,375.6857142857142,1505.0426223226611,194.46894409937886,350.044099378882,79.0,21963.0,22430.0
Burger Buns,4.0,342.0,98.81307697646977,97.82608695652173,3255.5,10.229700854700855,748.765,4.961342465753425,51.09176126590988,123.12,927.9381037316633,218.70652173913044,39.36717391304347,79.0,28814.0,31824.0
Gluten-free Buns,38.0,378.92857142857144,80.97748135398737,79.34782608695652,508.0,23.782771535580522,304.8,1.1410885518590999,46.21775025799794,416.82142857142856,768.9802673812857,16.462344720496894,9.054289596273293,72.0,1992.0,2136.0
Lettuce,3.0,92.0,99.43940040216927,98.36956521739131,562.0,3.340466000951022,365.3,11.354794520547944,51.09176126590988,110.39999999999999,538.1465557864578,150.16304347826087,90.09782608695652,79.0,16411.0,16824.0
Coffee Beans,3.0,78.64285714285714,99.10388722489908,98.36956521739131,0.0,0.0,0.0,19.696438356164386,51.09176126590988,330.3,401.0881996220743,74.4223602484472,156.28695652173914,79.0,8776.0,8694.0
Bacon,5.0,149.57142857142858,98.77047736480536,97.28260869565217,0.0,0.0,0.0,14.560577299412916,51.09176126590988,329.05714285714294,394.70948142246573,105.03183229813666,115.53501552795032,79.0,12165.0,12100.0
Butter,4.0,101.92857142857143,98.72221923745053,97.82608695652173,0.0,0.0,0.0,8.602147749510763,51.09176126590988,193.6642857142857,253.35819472970638,71.84860248447205,68.25617236024844,79.0,7977.0,7872.0
Cooking Oil,4.0,58.57142857142857,99.04373177842565,97.82608695652173,0.0,0.0,0.0,11.452994129158515,51.09176126590988,187.42857142857142,249.9733268236398,56.798136645962735,90.87701863354036,79.0,6125.0,6052.0
Mushrooms,9.0,128.35714285714286,98.53456852543506,95.1086956521739,80.0,0.9174311926605505,48.0,5.4364432485322896,51.09176126590988,141.19285714285715,245.72106165729934,78.43090062111801,43.13699534161491,79.0,8759.0,8720.0
Vegan Cheese,22.0,143.28571428571428,89.0954555338117,88.04347826086956,0.0,0.0,0.0,1.213375733855186,39.56570347437221,186.2714285714286,227.050507779656,14.812111801242237,9.627872670807454,62.0,1314.0,1188.0
Soft Drinks,2.0,127.35714285714283,99.55994214831159,98.91304347826086,0.0,0.0,0.0,15.477612524461842,51.09176126590988,101.88571428571427,168.45508807608599,307.0287267080745,122.81149068322983,79.0,28941.0,28608.0
Milk,2.0,47.35714285714286,99.7156581035296,98.91304347826086,0.0,0.0,0.0,14.49723581213307,51.09176126590988,71.03571428571429,136.62471136375723,153.37655279503105,115.0324145962733,79.0,16655.0,16560.0
Fries (Potatoes),2.0,115.78571428571428,99.6473925319435,98.91304347826086,0.0,0.0,0.0,11.292827788649705,51.09176126590988,69.47142857142856,131.85601762598816,298.6871118012422,89.60613354037267,79.0,32837.0,32680.0
Tomatoes,1.0,45.14285714285714,99.74091565000657,99.45652173913044,18.0,0.10387811634349031,9.0,9.53559686888454,51.09176126590988,40.628571428571426,110.25592956336584,168.13975155279505,75.66288819875777,79.0,17424.0,17328.0
Cheese Slices,3.0,110.64285714285714,99.43678871395849,98.36956521739131,0.0,0.0,0.0,4.934888454011743,51.09176126590988,48.682857142857145,104.70950686277877,177.98757763975155,39.15726708074534,79.0,19645.0,19550.0
Onions,3.0,63.071428571428584,99.51650878826042,98.36956521739131,0.0,0.0,0.0,3.7544275929549906,51.09176126590988,31.535714285714292,86.38190314457916,119.16226708074535,29.790566770186338,79.0,13045.0,12940.0
Eggs,3.0,74.92857142857142,99.47039460398238,98.36956521739131,0.0,0.0,0.0,2.632344422700587,51.09176126590988,23.977142857142855,77.70124854575332,130.54425465838509,20.887080745341613,79.0,14148.0,14070.0
