metric,key,unit,Manual par-level baseline,AI forecast + inventory policy,absolute_change,improvement_pct,better_when
Stockout days (SKU-days),stockout_days,days,202.0,278.0,76.0,-37.6,lower_is_better
Stockout units,stockout_units,units,2959.0,4540.0,1581.0,-53.4,lower_is_better
Service level (unit fill rate),unit_service_level,%,98.89,98.3,-0.59,-0.6,higher_is_better
Service level (days without stockout),day_service_level,%,94.51,92.45,-2.07,-2.2,higher_is_better
Waste units,waste_units,units,6574.0,2364.0,-4210.0,64.0,lower_is_better
Waste as share of stock received,waste_share_of_supply,%,2.43,0.9,-1.54,63.1,lower_is_better
Waste cost,waste_cost,GBP,6903.07,3972.41,-2930.65,42.5,lower_is_better
Holding cost,holding_cost,GBP,221.28,169.92,-51.37,23.2,lower_is_better
Ordering cost,ordering_cost,GBP,987.5,987.5,0.0,0.0,lower_is_better
Stockout cost,stockout_cost,GBP,8273.86,10325.26,2051.4,-24.8,lower_is_better
Total cost,total_cost,GBP,16385.71,15455.09,-930.62,5.7,lower_is_better
Average inventory (units),average_inventory_units,units,120.9,78.6,-42.3,35.0,lower_is_better
Average inventory value,average_inventory_value,GBP,87.79,67.41,-20.38,23.2,lower_is_better
Orders placed,orders_placed,orders,1530.0,1512.0,-18.0,1.2,lower_is_better
