sku,total_units,mean_daily_demand,std_daily_demand,zero_day_share,n_observations,unit_cost,annual_value,demand_cv,value_share,cumulative_value_share,abc,xyz,segment,as_of
Chicken Breast,44536,122.01643835616439,34.60840197524068,0.0027397260273972603,365,1.8,80164.8,0.28363720857200575,0.20250725140199333,0.20250725140199333,A,X,AX,2025-07-01
Salmon Fillet,16636,45.57808219178082,16.42557512813263,0.0273972602739726,365,3.2,53235.200000000004,0.36038320039483107,0.13447939781344675,0.3369866492154401,A,X,AX,2025-07-01
Coffee Beans,17986,49.276712328767125,11.721710398061749,0.0027397260273972603,365,2.1,37770.6,0.23787525271280652,0.0954137026451027,0.43240035186054276,A,X,AX,2025-07-01
Bacon,24838,68.04931506849314,20.57171270314091,0.01643835616438356,365,1.1,27321.800000000003,0.3023059480089554,0.06901860444178719,0.5014189563023299,A,X,AX,2025-07-01
Milk,33466,91.68767123287671,19.74093160291469,0.0027397260273972603,365,0.75,25099.5,0.2153062820493594,0.06340477062955725,0.5648237269318872,A,X,AX,2025-07-01
Soft Drinks,54682,149.813698630137,73.15126829789246,0.0027397260273972603,365,0.4,21872.800000000003,0.4882815721577621,0.05525368501468874,0.620077411946576,A,X,AX,2025-07-01
Fries (Potatoes),65881,180.4958904109589,56.594646094673685,0.0027397260273972603,365,0.3,19764.3,0.3135508845426738,0.049927325570380224,0.6700047375169562,A,X,AX,2025-07-01
Cooking Oil,12303,33.706849315068496,8.316479218057033,0.0027397260273972603,365,1.6,19684.800000000003,0.24672965249051587,0.04972649769472336,0.7197312352116796,A,X,AX,2025-07-01
Lettuce,31715,86.89041095890411,28.308039495969588,0.0027397260273972603,365,0.6,19029.0,0.32579014397064165,0.048069857180814156,0.7678010923924937,A,X,AX,2025-07-01
Tomatoes,34480,94.46575342465754,29.726261279621227,0.0027397260273972603,365,0.45,15516.0,0.3146776498567792,0.03919553859990081,0.8069966309923945,A,X,AX,2025-07-01
Butter,16162,44.27945205479452,13.0187413397977,0.019178082191780823,365,0.95,15353.9,0.29401315363359487,0.038786051824504834,0.8457826828168993,B,X,BX,2025-07-01
Truffle Oil,1630,4.465753424657534,4.797785065260861,0.4520547945205479,365,8.5,13855.0,1.0743506434479841,0.034999625373912456,0.8807823081908117,B,Z,BZ,2025-07-01
Burger Buns,57651,157.94794520547944,47.09418931746799,0.0027397260273972603,365,0.18,10377.18,0.29816272225765067,0.026214176285648278,0.90699648447646,B,X,BX,2025-07-01
Mushrooms,17157,47.00547945205479,16.65964963428333,0.043835616438356165,365,0.55,9436.35,0.35441931086515216,0.02383751099943117,0.9308339954758912,B,X,BX,2025-07-01
Cheese Slices,39677,108.7041095890411,32.04409924232063,0.0027397260273972603,365,0.22,8728.94,0.29478277650646545,0.022050496565237058,0.9528844920411282,B,X,BX,2025-07-01
Onions,26506,72.61917808219178,18.764889015449988,0.0027397260273972603,365,0.25,6626.5,0.2584012861480135,0.01673944550994088,0.9696239375510691,C,X,CX,2025-07-01
Eggs,28921,79.23561643835616,20.616443412319096,0.0027397260273972603,365,0.16,4627.36,0.26019162012020575,0.01168934438615861,0.9813132819372278,C,X,CX,2025-07-01
Seasonal Berries,2351,6.441095890410959,6.702874478031966,0.410958904109589,365,1.4,3291.3999999999996,1.0406419329994332,0.008314526665874808,0.9896278086031026,C,Z,CZ,2025-07-01
Gluten-free Buns,4122,11.293150684931506,8.844448323372923,0.28493150684931506,365,0.55,2267.1000000000004,0.7831692474602419,0.005727004740901981,0.9953548133440046,C,Y,CY,2025-07-01
Vegan Cheese,2829,7.750684931506849,6.468501943009901,0.3232876712328767,365,0.65,1838.8500000000001,0.8345716540115284,0.004645186655995592,1.0000000000000002,C,Y,CY,2025-07-01
